Task Solver Time_Solver Status_solve Desigion
task_0_n25 SCIP 24 OPTIMAL 458.0
task_0_n25 CBC 18 OPTIMAL 458.0
task_1_n25 SCIP 28 OPTIMAL 458.0
task_1_n25 CBC 18 OPTIMAL 458.0
task_2_n25 SCIP 25 OPTIMAL 453.0
task_2_n25 CBC 16 OPTIMAL 453.0
task_3_n25 SCIP 23 OPTIMAL 464.0
task_3_n25 CBC 17 OPTIMAL 464.0
task_4_n25 SCIP 24 OPTIMAL 455.0
task_4_n25 CBC 16 OPTIMAL 455.0
task_5_n25 SCIP 24 OPTIMAL 451.0
task_5_n25 CBC 19 OPTIMAL 451.0
task_6_n25 SCIP 28 OPTIMAL 453.0
task_6_n25 CBC 16 OPTIMAL 453.0
task_7_n25 SCIP 23 OPTIMAL 457.0
task_7_n25 CBC 18 OPTIMAL 457.0
task_8_n25 SCIP 29 OPTIMAL 461.0
task_8_n25 CBC 23 OPTIMAL 461.0
task_9_n25 SCIP 33 OPTIMAL 450.0
task_9_n25 CBC 17 OPTIMAL 450.0
