Task Solver Time_Solver Status_solve Desigion
task_0_n20 SCIP 16 OPTIMAL 364.0
task_0_n20 CBC 10 OPTIMAL 364.0
task_1_n20 SCIP 15 OPTIMAL 362.0
task_1_n20 CBC 10 OPTIMAL 362.0
task_2_n20 SCIP 15 OPTIMAL 372.0
task_2_n20 CBC 10 OPTIMAL 372.0
task_3_n20 SCIP 17 OPTIMAL 364.0
task_3_n20 CBC 10 OPTIMAL 364.0
task_4_n20 SCIP 19 OPTIMAL 354.0
task_4_n20 CBC 12 OPTIMAL 354.0
task_5_n20 SCIP 19 OPTIMAL 351.0
task_5_n20 CBC 12 OPTIMAL 351.0
task_6_n20 SCIP 24 OPTIMAL 361.0
task_6_n20 CBC 11 OPTIMAL 361.0
task_7_n20 SCIP 17 OPTIMAL 356.0
task_7_n20 CBC 10 OPTIMAL 356.0
task_8_n20 SCIP 20 OPTIMAL 358.0
task_8_n20 CBC 14 OPTIMAL 358.0
task_9_n20 SCIP 18 OPTIMAL 348.0
task_9_n20 CBC 11 OPTIMAL 348.0
