Task Solver Time_Solver Status_solve Desigion
task_0_n15 SCIP 8 OPTIMAL 266.0
task_0_n15 CBC 6 OPTIMAL 266.0
task_1_n15 SCIP 9 OPTIMAL 266.0
task_1_n15 CBC 7 OPTIMAL 266.0
task_2_n15 SCIP 9 OPTIMAL 267.0
task_2_n15 CBC 6 OPTIMAL 267.0
task_3_n15 SCIP 8 OPTIMAL 269.0
task_3_n15 CBC 6 OPTIMAL 269.0
task_4_n15 SCIP 8 OPTIMAL 265.0
task_4_n15 CBC 7 OPTIMAL 265.0
task_5_n15 SCIP 10 OPTIMAL 260.0
task_5_n15 CBC 7 OPTIMAL 260.0
task_6_n15 SCIP 11 OPTIMAL 252.0
task_6_n15 CBC 7 OPTIMAL 252.0
task_7_n15 SCIP 11 OPTIMAL 264.0
task_7_n15 CBC 7 OPTIMAL 264.0
task_8_n15 SCIP 13 OPTIMAL 259.0
task_8_n15 CBC 9 OPTIMAL 259.0
task_9_n15 SCIP 10 OPTIMAL 260.0
task_9_n15 CBC 6 OPTIMAL 260.0
