Task ConflictPercent Status_SCIP Time_SCIP Desigion_SCIP Time_LS_1p1 Desigion_LS_1p1 ErrorRate_LS_1p1
t0 30 OPTIMAL 13529 326.0 1984735 -1806 653.9877300613497 
t1 28 OPTIMAL 11946 338.0 678064 -1837 643.491124260355 
t2 28 OPTIMAL 7030 334.0 213804 -1820 644.9101796407185 
t3 27 OPTIMAL 6162 338.99999999999983 183219 -1765 620.6489675516227 
t4 25 OPTIMAL 2561 357.0 152744 -777 317.6470588235294 
t5 30 OPTIMAL 4430 329.00000000000017 37850293 -859 361.09422492401205 
t6 30 OPTIMAL 6161 335.0 300159 -2788 932.2388059701492 
t7 28 OPTIMAL 5944 332.99999999999994 157595 -3813 1245.0450450450453 
