Task ConflictPercent Status_SCIP Time_SCIP Desigion_SCIP Time_LS_1p1 Desigion_LS_1p1 ErrorRate_LS_1p1
t0 30 OPTIMAL 13095 326.0 1681006 -2779 952.4539877300614 
t1 28 OPTIMAL 9847 338.0 1472690 -1790 629.5857988165681 
t2 28 OPTIMAL 5723 334.0 1446897 -800 339.52095808383234 
t3 27 OPTIMAL 5066 338.99999999999983 1361654 188 44.54277286135691 
t4 25 OPTIMAL 2071 357.0 1398464 227 36.41456582633053 
t5 30 OPTIMAL 3623 329.00000000000017 2411754 -1811 650.4559270516714 
t6 30 OPTIMAL 6229 335.0 1675435 -826 346.56716417910445 
t7 28 OPTIMAL 6013 332.99999999999994 1447728 -1782 635.1351351351352 
t8 27 OPTIMAL 4685 340.0 2880460 -803 336.1764705882353 
t9 26 OPTIMAL 2694 346.0 1237599 228 34.104046242774565 
t10 30 OPTIMAL 9621 340.99999999999994 2631092 -1772 619.6480938416423 
t11 28 OPTIMAL 2697 335.0 1642317 -1771 628.6567164179105 
t12 28 OPTIMAL 14478 334.0 1490779 -1789 635.6287425149701 
t13 30 OPTIMAL 8643 334.0 1664852 -2781 932.6347305389221 
t14 30 OPTIMAL 11188 334.0 1963162 -2821 944.6107784431138 
t15 29 OPTIMAL 3854 343.0 1581330 -800 333.23615160349857 
t16 30 OPTIMAL 4860 340.0000000000001 2260397 -1840 641.1764705882351 
t17 29 OPTIMAL 12337 339.0 2330695 -1761 619.4690265486726 
t18 27 OPTIMAL 941 360.0 1320501 237 34.166666666666664 
t19 29 OPTIMAL 3148 349.0 1656684 -1773 608.0229226361032 
t20 28 OPTIMAL 4000 342.0 2576877 -800 333.91812865497076 
t21 28 OPTIMAL 3525 333.0 1450080 -1756 627.3273273273273 
t22 28 OPTIMAL 5705 332.99999999999994 6972335 -794 338.4384384384385 
t23 26 OPTIMAL 3975 330.0 2170219 185 43.93939393939394 
t24 30 OPTIMAL 14375 334.0 1699554 -3753 1223.6526946107786 
t25 25 OPTIMAL 3558 337.0 2456776 223 33.82789317507418 
t26 26 OPTIMAL 3741 342.0 1251608 193 43.567251461988306 
t27 27 OPTIMAL 4562 331.0 1355837 178 46.22356495468278 
t28 26 OPTIMAL 5520 350.0 1246471 189 46.0 
t29 28 OPTIMAL 9557 348.99999999999994 5846057 -1756 603.1518624641835 
