Task   Percent_conflict   Time_SCIP   Status_solve_SCIP   Decision_SCIP   Time_LS   Decision_LS   ErrorRate
task_0_n_10   27   31   OPTIMAL   152.0   10401   134   11.842105263157896
task_1_n_10   29   149   OPTIMAL   144.0   10491   131   9.027777777777779
task_2_n_10   26   18   OPTIMAL   163.0   10355   150   7.975460122699387
task_3_n_10   27   45   OPTIMAL   156.0   10439   147   5.769230769230769
task_4_n_10   29   76   OPTIMAL   161.0   10500   142   11.801242236024844
task_5_n_10   30   21   OPTIMAL   154.0   10500   132   14.285714285714286
task_6_n_10   28   61   OPTIMAL   169.0   10481   151   10.650887573964496
task_7_n_10   25   20   OPTIMAL   164.0   10390   164   0.0
task_8_n_10   29   51   OPTIMAL   152.0   10511   140   7.894736842105263
task_9_n_10   27   67   OPTIMAL   163.0   10436   159   2.4539877300613497
