Task   Percent_conflict   Time_SCIP   Status_solve_SCIP   Decision_SCIP   Time_LS   Decision_LS   ErrorRate
task_0_n_20   28   9067   OPTIMAL   334.0   18858   -3816   1242.5149700598802
task_1_n_20   30   14448   OPTIMAL   339.0   20279   -3748   1205.6047197640119
task_2_n_20   26   7792   OPTIMAL   333.0   17752   -1753   626.4264264264265
task_3_n_20   25   2360   OPTIMAL   343.0   17030   -1804   625.9475218658893
task_4_n_20   29   3076   OPTIMAL   346.0   23142   -4773   1479.4797687861271
task_5_n_20   28   18497   OPTIMAL   334.0   19262   -3795   1236.2275449101796
task_6_n_20   27   10331   OPTIMAL   331.0   19214   -3857   1265.2567975830816
task_7_n_20   27   7597   OPTIMAL   342.0   122615   -1810   629.2397660818714
task_8_n_20   30   3745   OPTIMAL   344.00000000000006   151027   -4772   1487.2093023255811
task_9_n_20   28   4599   OPTIMAL   339.0   140615   -1837   641.8879056047198
