Percent_conflict     Time_linear    Status_solve_linear     Time_confComb    Status_solve_confComb
28     0      OPTIMAL     15      OPTIMAL
29     0      OPTIMAL     14      OPTIMAL
29     0      OPTIMAL     9      OPTIMAL
27     0      OPTIMAL     8      OPTIMAL
25     0      OPTIMAL     2      OPTIMAL
29     0      OPTIMAL     3      OPTIMAL
28     0      OPTIMAL     5      OPTIMAL
29     0      OPTIMAL     3      OPTIMAL
29     0      OPTIMAL     6      OPTIMAL
25     0      OPTIMAL     2      OPTIMAL
27     0      OPTIMAL     3      OPTIMAL
30     0      OPTIMAL     21      OPTIMAL
29     0      OPTIMAL     6      OPTIMAL
28     0      OPTIMAL     9      OPTIMAL
25     0      OPTIMAL     6      OPTIMAL
27     0      OPTIMAL     4      OPTIMAL
26     0      OPTIMAL     3      OPTIMAL
27     0      OPTIMAL     3      OPTIMAL
26     0      OPTIMAL     6      OPTIMAL
26     0      OPTIMAL     4      OPTIMAL
29     0      OPTIMAL     23      OPTIMAL
30     0      OPTIMAL     23      OPTIMAL
26     0      OPTIMAL     2      OPTIMAL
25     0      OPTIMAL     3      OPTIMAL
29     0      OPTIMAL     9      OPTIMAL
27     0      OPTIMAL     5      OPTIMAL
30     0      OPTIMAL     8      OPTIMAL
26     0      OPTIMAL     5      OPTIMAL
26     0      OPTIMAL     5      OPTIMAL
28     0      OPTIMAL     12      OPTIMAL
