НомерЗадачи Погрешность
0 4.391328515842135
1 8.423326133909287
2 6.363636363636363
3 6.754530477759473
4 5.097613882863341
5 5.246422893481717
6 4.906284454244763
7 5.945945945945946
8 7.963163596966414
9 2.0777836973894512
10 6.413682522715126
11 3.4047226798462384
12 1.765030336458908
13 6.663055254604551
14 8.16542948038176
15 5.549568965517241
16 10.162162162162161
17 7.553366174055829
18 4.420485175202156
19 5.268875611080935
20 7.238605898123325
21 2.2963367960634224
22 3.116603976356797
23 4.828326180257511
24 3.453858607663249
25 5.311653116531165
26 3.2937365010799136
27 10.044642857142858
28 8.383894098179812
29 4.078303425774878
